gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YCR098C	r_3606	sn-glycero-3-phosphocholine[ce] <=> sn-glycero-3-phosphocholine[c]	 Glycerophosphodiester transporter that mediates uptake of both glycerophosphoinositol (GroPIns) and glycerophosphocholine (GroPCho) as sources of the nutrients inositol and phosphate (PubMed:9691030, PubMed:12912892, PubMed:16141200). {ECO:0000269|PubMed:12912892, ECO:0000269|PubMed:16141200, ECO:0000269|PubMed:9691030}.	MNXM367	none	"Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability"	NA	Plasma membrane permease	NA	Glycerophosphoinositol transporter 1	4 out of 5	NA	"GIT1; Git1p"	NA	GlycerophosphoInosiTol	NA	2.A.1.9.7	Probable metabolite transport protein GIT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIT1 PE=1 SV=1	FALSE
YCR098C	r_3607	1-(sn-glycero-3-phospho)-1D-myo-inositol[ce] <=> 1-(sn-glycero-3-phospho)-1D-myo-inositol[c]	 Glycerophosphodiester transporter that mediates uptake of both glycerophosphoinositol (GroPIns) and glycerophosphocholine (GroPCho) as sources of the nutrients inositol and phosphate (PubMed:9691030, PubMed:12912892, PubMed:16141200). {ECO:0000269|PubMed:12912892, ECO:0000269|PubMed:16141200, ECO:0000269|PubMed:9691030}.	MNXM1517	none	"Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability"	NA	Plasma membrane permease	NA	Glycerophosphoinositol transporter 1	4 out of 5	NA	"GIT1; Git1p"	NA	GlycerophosphoInosiTol	NA	2.A.1.9.7	Probable metabolite transport protein GIT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIT1 PE=1 SV=1	FALSE
YNR013C	r_3649	phosphate[c] <=> phosphate[vm]	 Vacuolar phosphate transporter that probably exports phosphate from the vacuolar lumen to the cytosol. {ECO:0000269|PubMed:11779791, ECO:0000269|PubMed:17804816, ECO:0000269|PubMed:20133652}.	MNXM9	none	"Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth"	NA	Low-affinity vacuolar phosphate transporter	NA	Low-affinity phosphate transporter PHO91	5 out of 5	NA	"PHO91; Pho91p"	NA	PHOsphate metabolism	NA	2.A.47.2.2	Uncharacterized transporter YNR013C - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YHR002W	r_3680	coenzyme A[mm] <=> coenzyme A[c]	 Required for the accumulation of coenzyme A in the mitochondrial matrix. {ECO:0000269|PubMed:11158296}.	MNXM12	none	"Mitochondrial carrier protein; involved in the accumulation of CoA in the mitochondrial matrix; homolog of human Graves disease protein SLC25A16, which complements yeast null mutant; does not encode an isozyme of Leu4p, as first hypothesized"	NA	Mitochondrial carrier protein	NA	Mitochondrial carrier protein LEU5	3 out of 5	NA	"LEU5; coenzyme A transporter"	NA	LEUcine biosynthesis	SLC25A16 transports cytosolic CoA-SH to mitichondrial matrix	2.A.29.12.4	Mitochondrial carrier protein LEU5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU5 PE=2 SV=1	FALSE
YIL048W	r_3813	phosphatidyl-L-serine (1-16:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:0, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78605	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3813	phosphatidyl-L-serine (1-16:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:0, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	MNXM78605	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
YIL048W	r_3814	phosphatidyl-L-serine (1-16:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	NA	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3814	phosphatidyl-L-serine (1-16:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	NA	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
YIL048W	r_3815	phosphatidyl-L-serine (1-18:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78765	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3815	phosphatidyl-L-serine (1-18:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	MNXM78765	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
YIL048W	r_3816	phosphatidyl-L-serine (1-18:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78797	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3816	phosphatidyl-L-serine (1-18:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-16:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	MNXM78797	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
